College_Name,Location,Fees,College_URL
"Nemcare Group Of Institutions - [NGI], Guwahati","Guwahati, Assam","₹ 1,80,000",https://collegedunia.com/college/64515-nemcare-group-of-institutions-ngi-guwahati
"Hill View College Of Nursing, Ranchi","Ranchi, Jharkhand","₹ 5,36,800",https://collegedunia.com/college/64310-hill-view-college-of-nursing-ranchi
"IQ City Institute of Nursing Sciences, Durgapur","Durgapur, West Bengal","₹ 1,60,000",https://collegedunia.com/college/63671-iq-city-institute-of-nursing-sciences-durgapur
"Pacific Medical University - [PMU], Udaipur","Udaipur, Rajasthan","₹ 1,35,000",https://collegedunia.com/university/58455-pacific-medical-university-pmu-udaipur
"Manipal - TATA Medical College, Jamshedpur, Jamshedpur","Jamshedpur, Jharkhand","₹ 1,83,000",https://collegedunia.com/college/65138-manipal-tata-medical-college-jamshedpur-jamshedpur
"Sikkim Manipal College of Nursing - [SMCON], Gangtok","Gangtok, Sikkim","₹ 1,36,000",https://collegedunia.com/college/12415-sikkim-manipal-college-of-nursing-smcon-gangtok
"Smt. Radhikabai Meghe Memorial College of Nursing  - [SRMMCON], Wardha","Wardha, Maharashtra","₹ 1,50,000",https://collegedunia.com/college/59526-smt-radhikabai-meghe-memorial-college-of-nursing-srmmcon-wardha
"Vinayaka Missions College of Nursing - [VMCON], Pondicherry","Pondicherry, Puducherry","₹ 1,31,000",https://collegedunia.com/college/56267-vinayaka-missions-college-of-nursing-vmcon-pondicherry
"Royal Global University - [RGU], Guwahati","Guwahati, Assam","₹ 1,30,000",https://collegedunia.com/university/55918-royal-global-university-rgu-guwahati
"PEWS Group of Institutions, Guwahati","Guwahati, Assam","₹ 1,30,000",https://collegedunia.com/college/62271-pews-group-of-institutions-guwahati
"Sree Sastha College of Nursing, Chennai","Chennai, Tamil Nadu","₹ 1,30,000",https://collegedunia.com/college/64956-sree-sastha-college-of-nursing-chennai
"Medical Institute of Allied Sciences ,Hyderabad - [MIAS], Hyderabad","Hyderabad, Telangana","₹ 1,30,000",https://collegedunia.com/college/65107-medical-institute-of-allied-sciences-hyderabad-mias-hyderabad
"Kalasalingam Academy of Research and Education, Krishnankovil","Krishnankovil, Tamil Nadu","₹ 1,37,000",https://collegedunia.com/university/25883-kalasalingam-academy-of-research-and-education-krishnankovil
"East Point Group of Institutions - [EPGI], Bangalore","Bangalore, Karnataka","₹ 1,72,000",https://collegedunia.com/college/13428-east-point-group-of-institutions-epgi-bangalore
"GNIOT Group of Institutions - [GNIOT], Greater Noida","Greater Noida, Uttar Pradesh","₹ 1,30,500",https://collegedunia.com/college/13636-gniot-group-of-institutions-gniot-greater-noida
"Omayal Achi College Of Nursing, Puzhal - [OACN], Chennai","Chennai, Tamil Nadu","₹ 1,28,000",https://collegedunia.com/college/55408-omayal-achi-college-of-nursing-puzhal-oacn-chennai
"Indira Nursing College -[INC], Mangalore","Mangalore, Karnataka","₹ 1,50,000",https://collegedunia.com/college/64747-indira-nursing-college-inc-mangalore
"Krishna Group of Institutions, Kanpur","Kanpur, Uttar Pradesh","₹ 1,26,500",https://collegedunia.com/college/58543-krishna-group-of-institutions-kanpur
"Yenepoya University, Bangalore","Bangalore, Karnataka","₹ 2,71,000",https://collegedunia.com/university/64133-yenepoya-university-bangalore
"PPG College of Nursing, Coimbatore","Coimbatore, Tamil Nadu","₹ 1,45,000",https://collegedunia.com/college/55474-ppg-college-of-nursing-coimbatore
"Mangalayatan University - [MU], Aligarh","Aligarh, Uttar Pradesh","₹ 1,25,500",https://collegedunia.com/university/25958-mangalayatan-university-mu-aligarh
"Sree Balaji Medical College and Hospital - [SBMCH], Chennai","Chennai, Tamil Nadu","₹ 1,25,000",https://collegedunia.com/college/11027-sree-balaji-medical-college-and-hospital-sbmch-chennai
"Abhaya Group of Institutions, Bangalore","Bangalore, Karnataka","₹ 5,00,000",https://collegedunia.com/college/11202-abhaya-group-of-institutions-bangalore
"Future University, Bareilly","Bareilly, Uttar Pradesh","₹ 1,25,000",https://collegedunia.com/university/13476-future-university-bareilly
"Saveetha Institute of Medical And Technical Sciences - [SIMATS], Chennai","Chennai, Tamil Nadu","₹ 1,25,000",https://collegedunia.com/college/25898-saveetha-institute-of-medical-and-technical-sciences-simats-chennai
"People's University, Bhopal","Bhopal, Madhya Pradesh","₹ 1,25,000",https://collegedunia.com/university/55099-peoples-university-bhopal
"SAGE University, Bhopal","Bhopal, Madhya Pradesh","₹ 1,25,000",https://collegedunia.com/university/60306-sage-university-bhopal
"Krishnaguru Adhyatmik Visvavidyalaya, Barpeta","Barpeta, Assam","₹ 1,25,000",https://collegedunia.com/university/60376-krishnaguru-adhyatmik-visvavidyalaya-barpeta
"MNR University, Hyderabad","Hyderabad, Telangana","₹ 1,25,000",https://collegedunia.com/university/63939-mnr-university-hyderabad
"Ankerite International Institute of Medical Science - [AIIMS], Lucknow","Lucknow, Uttar Pradesh","₹ 5,00,000",https://collegedunia.com/college/64226-ankerite-international-institute-of-medical-science-aiims-lucknow
"Swami Vivekananda Institute Of Nursing - [SVIN], Bardhaman","Bardhaman, West Bengal","₹ 5,00,000",https://collegedunia.com/college/64926-swami-vivekananda-institute-of-nursing-svin-bardhaman
"Joy University - [JU], Tirunelveli","Tirunelveli, Tamil Nadu","₹ 1,37,500",https://collegedunia.com/university/63635-joy-university-ju-tirunelveli
"JSS Academy of Higher Education & Research, Mysore","Mysore, Karnataka","₹ 1,65,800",https://collegedunia.com/university/25605-jss-academy-of-higher-education-and-research-mysore
"Sai Nath University, Ranchi","Ranchi, Jharkhand","₹ 1,39,500",https://collegedunia.com/university/25588-sai-nath-university-ranchi
"Banasthali Vidyapith, Jaipur","Jaipur, Rajasthan","₹ 1,24,000",https://collegedunia.com/university/25798-banasthali-vidyapith-jaipur
"Krishna Institute Of Higher Education, Madhepura","Madhepura, Bihar","₹ 4,95,000",https://collegedunia.com/college/64383-krishna-institute-of-higher-education-madhepura
"Jagannath Gupta Institute of Medical Sciences and Hospital - [JIMSH], Kolkata","Kolkata, West Bengal","₹ 1,61,000",https://collegedunia.com/college/63452-jagannath-gupta-institute-of-medical-sciences-and-hospital-jimsh-kolkata
"Aarogyam Nursing College, Roorkee","Roorkee, Uttarakhand","₹ 1,22,600",https://collegedunia.com/college/63524-aarogyam-nursing-college-roorkee
"Asian Institute of Nursing Education - [AINE], Guwahati","Guwahati, Assam","₹ 1,22,500",https://collegedunia.com/college/11302-asian-institute-of-nursing-education-aine-guwahati
"Sam Higginbottom University of Agriculture Technology and Sciences - [SHUATS], Allahabad","Allahabad, Uttar Pradesh","₹ 1,30,000",https://collegedunia.com/university/25968-sam-higginbottom-university-of-agriculture-technology-and-sciences-shuats-allahabad
"Queensland Academy of Nursing, Howrah","Howrah, West Bengal","₹ 1,90,000",https://collegedunia.com/college/64430-queensland-academy-of-nursing-howrah
"Kalinga Institute of Industrial Technology - [KIIT], Bhubaneswar","Bhubaneswar, Odisha","₹ 1,77,000",https://collegedunia.com/university/25760-kalinga-institute-of-industrial-technology-kiit-bhubaneswar
"Silver Oak University, Ahmedabad","Ahmedabad, Gujarat","₹ 1,22,000",https://collegedunia.com/university/59895-silver-oak-university-ahmedabad
"AVK Group of Institutions, Bangalore","Bangalore, Karnataka","₹ 4,85,000",https://collegedunia.com/college/50-avk-group-of-institutions-bangalore
"MBNS Institute, Jamshedpur","Jamshedpur, Jharkhand","₹ 1,58,000",https://collegedunia.com/college/64777-mbns-institute-jamshedpur
"Shine Abdur Razzaque Ansari Institute of Health Education and Research Center, Ranchi","Ranchi, Jharkhand","₹ 1,50,000",https://collegedunia.com/college/7755-shine-abdur-razzaque-ansari-institute-of-health-education-and-research-center-ranchi
"Chanchalben Mafatlal Patel College of Nursing - [CMPCN], Gandhinagar","Gandhinagar, Gujarat","₹ 1,20,000",https://collegedunia.com/college/11435-chanchalben-mafatlal-patel-college-of-nursing-cmpcn-gandhinagar
"Chitkara University, Solan","Solan, Himachal Pradesh","₹ 1,20,000",https://collegedunia.com/university/25552-chitkara-university-solan
"Sri Sri University - [SSU], Cuttack","Cuttack, Odisha","₹ 1,20,000",https://collegedunia.com/university/25768-sri-sri-university-ssu-cuttack
"Lovely Professional University - [LPU], Jalandhar","Jalandhar, Punjab","₹ 1,60,000",https://collegedunia.com/university/25787-lovely-professional-university-lpu-jalandhar
"G.C.R.G. Group of Institutions, Lucknow","Lucknow, Uttar Pradesh","₹ 1,20,000",https://collegedunia.com/college/59587-gcrg-group-of-institutions-lucknow
"Amritsar College of Nursing - [ACN], Amritsar","Amritsar, Punjab","₹ 1,20,000",https://collegedunia.com/college/63467-amritsar-college-of-nursing-acn-amritsar
"Misra Nursing Institute of Asansol, Asansol","Asansol, West Bengal","₹ 1,20,000",https://collegedunia.com/college/64233-misra-nursing-institute-of-asansol-asansol
